keys,en,pt,es,fr,ua
HARD,HARD,DIFÍCIL,DIFÍCIL,DIFFICILE,СКЛАДНО
MASTERVOL,Master Volume:,Volume Principal:,Volumen Maestro:,Volume principal :,Головна гучність:
MUSICVOL,Music Volume:,Volume da Música:,Volumen de Música:,Volume de la musique :,Гучність музики:
SFXVOL,Sound Volume:,Volume dos Sons:,Volumen de Sonidos:,Volume des effets sonores :,Гучність звуків:
AMBIVOL,Ambience Volume:,Volume do Ambiente:,Volumen del Ambiente:,Volume de l'ambiance :,Гучність атмосфери:
ACTION,Action,Ação,Acción,Action,Дія
KEYBOARD,Keyboard,Teclado,Teclado,Clavier,Клавіатура
CONTROLLER,Controller,Controlador,Mando,Manette,Контролер
PRESSANY,Press any key,Prima qualquer tecla,Pulsa cualquier tecla,Appuie sur n'importe quelle touche,Натисни будь-яку клавішу
INVALIDKEY,"That key already exists
Choose another key","Essa tecla já está em uso
Escolha outra tecla","Esta tecla ya está en uso
Elija otra tecla","Cette touche existe déjà
Choisis une autre touche","Ця клавіша вже використовується
Обери іншу клавішу"
SCORE,SCORE,PONTOS,PUNTOS,SCORE,РАХУНОК
TUTORIAL_BASE,Press {key} to {action},Prima {key} para {action},Pulsa {key} para {action},Appuie sur {key} pour {action},"Натисни {key}, щоб {action}"
TUTORIAL_MOVE,Move {key} to {action},Move {key} para {action},Mueve {key} para {action},Déplace {key} pour {action},"Рухай {key}, щоб {action}"
TUTORIAL_MOVELEFT,go LEFT,ir para a ESQUERDA,ir a la IZQUIERDA,aller à GAUCHE,іти ЛІВОРУЧ
TUTORIAL_MOVERIGHT,go RIGHT,ir para a DIREITA,ir a la DERECHA,aller à DROITE,іти ПРАВОРУЧ
TUTORIAL_JUMP,JUMP,SALTAR,SALTAR,SAUTER,СТРИБАТИ
TUTORIAL_DIVE_CONDITION,{key} while on air,{key} enquanto no ar,{key} mientras en el aire,{key} en l'air,{key} у повітрі
TUTORIAL_DIVE,FALL,CAIR,CAER,TOMBER,ПАДАТИ
TUTORIAL_DASHLEFT,DASH LEFT,ESQUIVAR para a ESQUERDA,ESQUIVAR a la IZQUIERDA,ESQUIVER à GAUCHE,РИВОК ЛІВОРУЧ
TUTORIAL_DASHRIGHT,DASH RIGHT,ESQUIVAR para a DIREITA,ESQUIVAR a la DERECHA,ESQUIVER à DROITE,РИВОК ПРАВОРУЧ
TUTORIAL_DESTROY,DESTROY rocks,DESTRUIR pedras,DESTRUIR rocas,DÉTRUIRE des rochers,ЗНИЩУВАТИ камені
TUTORIAL_THROW,THROW a stone,LANÇAR uma pedra,LANZAR una piedra,LANCER une pierre,КИДАТИ камінь
DASHL,Dash Left,Esquivar Esq.,Esquivar Izq.,Esquiver Gauche,Ривок ліворуч
DASHR,Dash Right,Esquivar Dir.,Esquivar Der.,Esquiver Droite,Ривок праворуч
JUMP,Jump,Saltar,Saltar,Sauter,Стрибок
THROW,Throw,Lançar,Lanzar,Lancer,Кидок
SHIELD,Shield,Escudo,Escudo,Bouclier,Щит
KEY_CLICKR,Right Click,Clique Direito,Clic Derecho,Clic droit,Правий клік
KEY_CLICKL,Left Click,Clique Esquerdo,Clic Izquierdo,Clic gauche,Лівий клік
KEY_CLICKM,Middle Click,Clique do Meio,Clic del Medio,Clic central,Середній клік
KEY_L1,L1,L1,L1,L1,L1
KEY_R1,R1,R1,R1,R1,R1
KEY_L2,L2,L2,L2,L2,L2
KEY_R2,R2,R2,R2,R2,R2
KEY_L3,L3,L3,L3,L3,L3
KEY_R3,R3,R3,R3,R3,R3
KEY_CROSS,A,A,A,A,A
KEY_CIRCLE,B,B,B,B,B
KEY_SQUARE,X,X,X,X,X
KEY_TRIANGLE,Y,Y,Y,Y,Y
KEY_SPACE,SPACE,ESPAÇO,la barra ESPACIADORA,ESPACE,ПРОБІЛ
Space,Space,Espaço,Espaciadora,Espace,Пробіл
PROGRAMMERS,Programmers,Programadores,Programadores,Programmeurs,Програмісти
GAMEPROG,Gameplay Programmers,Programadores de Jogabilidade,Programadores de Jugabilidad,Programmeurs Gameplay,Програмісти ігрового процесу
UIPROG,UI/UX Programmers,Programadores de UI/UX,Programadores de UI/UX,Programmeurs UI/UX,Програмісти UI/UX
ANIMPROG,Animation Programmers,Programadores de Animação,Programadores de Animación,Programmeurs Animation,Програмісти анімації
AUDIOPROG,Audio Programmer,Programadora de Áudio,Programadora de Audio,Programmeuse Audio,Програміст аудіо
PHYSPROG,Physics Programmers,Programadores de Física,Programadores de Física,Programmeurs Physique,Програмісти фізики
ENVPROG,Environment Programmer,Programadora de Ambiente,Programadora de Ambiente,Programmeuse Environnement,Програміст оточення
BUILDPROG,Build Programmer,Programadora de Build,Programadora de Build,Programmeuse Build,Програміст збірки
ARTISTS,Artists,Artistas,Artistas,Artistes,Художники
ENVART,Environment Art Artist,Artista de Ambiente,Artista de Ambiente,Artiste Environnement,Художник оточення
CUTART,Cutscenes Artist,Artista de Cutscene,Artista de Cutscene,Artiste Cinématiques,Художник катсцен
ANIMART,Animation Artists,Artistas de Animação,Artistas de Animación,Artistes Animation,Художники анімації
UIART,UI/UX Artist,Artista de UI/UX,Artista de UI/UX,Artiste UI/UX,Художник UI/UX
CHARART,Character Artists,Artistas de Personagem,Artistas de Personajes,Artistes Personnages,Художники персонажів
CONCART,Concept Artist,Artista Conceptual,Artista Conceptual,Artiste Conceptuel,Концепт-художник
DESIGNERS,Designers,Designers,Diseñadores,Designers,Дизайнери
GAMEDES,Gameplay Designers,Designers de Jogabilidade,Diseñadores de Jugabilidad,Designers Gameplay,Дизайнери ігрового процесу
LEVELDES,Level Designers,Designers de Nível,Diseñadores de Niveles,Designers de Niveaux,Дизайнери рівнів
CHARDES,Character Designers,Designers de Personagem,Diseñadores de Personaje,Designers de Personnages,Дизайнери персонажів
NARRDES,Narrative Designers,Designers de Narrativa,Diseñadores de Narrativa,Designers Narratifs,Дизайнери наративу
WRITER,Story Writer,Escritor de História,Escritor de la Historia,Auteur de l'Histoire,Автор сюжету
SOUNDDES,Sound Designer,Designer de Som,Diseñadora de Sonido,Designer Sonore,Звуковий дизайнер
UIDES,UI/UX Designers,Designers de UI/UX,Diseñadores de UI/UX,Designers UI/UX,Дизайнери UI/UX
MUSICBY,"Music by HoliznaCC0
Album: ChipTunes
Licensed under CC0 1.0 Universal

Sound Effects provided by MixKit and Pixabay","Música de HoliznaCC0
Álbum: ChipTunes
Licença: CC0 1.0 Universal

Sound Efeitos de som: MixKit e Pixabay","Música de HoliznaCC0
Álbum: ChipTunes
Licencia: CC0 1.0 Universal

Efectos sonoros de MixKit y Pixabay","Musique de HoliznaCC0
Album : ChipTunes
Sous licence CC0 1.0 Universal

Effets sonores de MixKit et Pixabay","Музика від HoliznaCC0
Альбом: ChipTunes
Ліцензія: CC0 1.0 Universal

Звукові ефекти від MixKit та Pixabay"
THX,Thanks for playing!,Obrigado por jogar!,Gracias por jugar!,Merci d'avoir joué !,Дякуємо за гру!
CREDITSSKIP,Hold {key} to SKIP,Mantenha {key} premido para SALTAR,Mantenga {key} para SALTAR,Maintiens {key} pour PASSER,"Утримуй {key}, щоб ПРОПУСТИТИ"
